"","Price","Condo","Size","Rooms","Toilets","Suites","Parking","Elevator","Furnished","Swimming.Pool","New","District","Negotiation.Type","Property.Type","Latitude","Longitude"
"1",930,220,47,2,2,1,1,0,0,0,0,"Artur Alvim/São Paulo","rent","apartment",-23.543138,-46.479486
"3",1000,100,48,2,2,1,1,0,0,0,0,"Artur Alvim/São Paulo","rent","apartment",-23.542818,-46.485665
"4",1000,200,48,2,2,1,1,0,0,0,0,"Artur Alvim/São Paulo","rent","apartment",-23.547171,-46.483014
"6",1170,0,50,2,2,1,1,0,0,0,0,"Artur Alvim/São Paulo","rent","apartment",-23.548751,-46.477195
"7",1000,180,52,1,2,1,1,1,0,0,0,"Artur Alvim/São Paulo","rent","apartment",-23.54984,-46.484137
"9",1000,0,65,2,2,1,1,0,0,0,0,"Artur Alvim/São Paulo","rent","apartment",-23.548751,-46.477195
"12",800,150,48,2,2,1,1,0,0,0,0,"Artur Alvim/São Paulo","rent","apartment",-23.545761,-46.479509
"14",1000,200,56,2,2,1,1,0,0,0,0,"Artur Alvim/São Paulo","rent","apartment",-23.541366,-46.483726
"15",1800,418,54,2,2,1,1,1,0,1,0,"Belém/São Paulo","rent","apartment",-23.543955,-46.586619
"16",1600,416,45,2,2,1,1,0,0,0,0,"Belém/São Paulo","rent","apartment",-23.544698,-46.602114
"17",1500,337,55,2,2,1,1,1,0,0,0,"Belém/São Paulo","rent","apartment",-23.546104,-46.594579
"18",1600,306,43,2,2,1,1,1,0,0,0,"Belém/São Paulo","rent","apartment",-23.534606,-46.595084
"19",1600,150,80,2,2,1,1,1,0,0,0,"Belém/São Paulo","rent","apartment",-23.53962,-46.596337
"22",2500,720,68,3,2,1,1,0,0,1,0,"Belém/São Paulo","rent","apartment",-23.538163,-46.591505
"24",1800,530,59,3,2,1,1,0,0,0,0,"Belém/São Paulo","rent","apartment",-23.544698,-46.602114
"25",1500,2893,230,3,2,1,2,0,0,0,0,"Belém/São Paulo","rent","apartment",-23.540212,-46.585702
"26",2300,857,113,3,2,1,2,1,0,0,0,"Belém/São Paulo","rent","apartment",-23.538134,-46.594059
"27",2250,530,68,2,2,1,1,0,0,1,0,"Belém/São Paulo","rent","apartment",-23.538163,-46.591505
"28",1700,445,65,2,2,1,1,0,0,1,0,"Belém/São Paulo","rent","apartment",-23.532871,-46.601244
"29",1726,290,55,2,2,1,1,1,0,1,0,"Belém/São Paulo","rent","apartment",-23.534606,-46.595084
"30",1700,450,50,1,2,1,1,1,0,1,0,"Belém/São Paulo","rent","apartment",-23.546089,-46.590325
"31",1600,300,48,2,2,1,1,1,0,0,0,"Belém/São Paulo","rent","apartment",-23.546104,-46.594579
"32",810,140,36,1,2,1,1,0,0,0,0,"Belém/São Paulo","rent","apartment",-23.538794,-46.605664
"33",3000,811,107,3,3,1,2,1,0,1,0,"Belém/São Paulo","rent","apartment",-23.538767,-46.594706
"34",6000,800,150,3,4,3,2,1,1,0,0,"Belém/São Paulo","rent","apartment",-23.550987,-46.590908
"35",1750,760,60,3,2,1,1,0,0,0,0,"Belém/São Paulo","rent","apartment",-23.53838,-46.589441
"36",2500,857,113,3,2,1,2,1,0,0,0,"Belém/São Paulo","rent","apartment",-23.538134,-46.594059
"37",3800,1450,155,3,4,3,3,1,1,0,0,"Belém/São Paulo","rent","apartment",-23.540085,-46.593312
"38",1600,300,66,2,2,1,1,1,0,0,0,"Belém/São Paulo","rent","apartment",-23.537299,-46.583385
"39",990,692,57,2,2,1,1,0,0,0,0,"Belém/São Paulo","rent","apartment",-23.530025,-46.600427
"40",1850,500,57,2,2,1,2,0,0,1,0,"Belém/São Paulo","rent","apartment",-23.543955,-46.586619
"41",1950,377,55,2,2,1,1,1,1,0,0,"Belém/São Paulo","rent","apartment",-23.535523,-46.593554
"43",2300,907,114,4,3,2,2,0,0,1,0,"Belém/São Paulo","rent","apartment",-23.538904,-46.589456
"44",1500,275,80,3,2,1,1,0,0,0,0,"Belém/São Paulo","rent","apartment",-23.53718,-46.593103
"45",1300,289,44,2,2,1,1,1,0,0,0,"Belém/São Paulo","rent","apartment",-23.559264,-46.575407
